date;Defines_actives;FREQ;Dir_Out
2026-07-20 21:55:42;FPREDICT DUMPVARS WORST ;2440;../rtl/data/2440_WORST/FPREDICT_DUMPVARS
2026-07-20 21:55:56;FPREDICT SDM1 DUMPVARS WORST ;2440;../rtl/data/2440_WORST/FPREDICT_SDM1_DUMPVARS
2026-07-20 21:56:12;FPREDICT SDM2 DUMPVARS WORST ;2440;../rtl/data/2440_WORST/FPREDICT_SDM2_DUMPVARS
2026-07-20 21:56:30;FPREDICT DUMPVARS WORST ;2480;../rtl/data/2480_WORST/FPREDICT_DUMPVARS
2026-07-20 21:56:44;FPREDICT SDM1 DUMPVARS WORST ;2480;../rtl/data/2480_WORST/FPREDICT_SDM1_DUMPVARS
2026-07-20 21:57:00;FPREDICT SDM2 DUMPVARS WORST ;2480;../rtl/data/2480_WORST/FPREDICT_SDM2_DUMPVARS
2026-07-20 21:57:19;FPREDICT DUMPVARS WORST ;2418.123;../rtl/data/2418123_WORST/FPREDICT_DUMPVARS
2026-07-20 21:57:32;FPREDICT SDM1 DUMPVARS WORST ;2418.123;../rtl/data/2418123_WORST/FPREDICT_SDM1_DUMPVARS
2026-07-20 21:57:46;FPREDICT SDM2 DUMPVARS WORST ;2418.123;../rtl/data/2418123_WORST/FPREDICT_SDM2_DUMPVARS
2026-07-20 21:58:02;FPREDICT DUMPVARS BEST ;2402;../rtl/data/2402_BEST/FPREDICT_DUMPVARS
2026-07-20 21:58:16;FPREDICT SDM1 DUMPVARS BEST ;2402;../rtl/data/2402_BEST/FPREDICT_SDM1_DUMPVARS
2026-07-20 21:58:31;FPREDICT SDM2 DUMPVARS BEST ;2402;../rtl/data/2402_BEST/FPREDICT_SDM2_DUMPVARS
2026-07-20 21:58:49;FPREDICT DUMPVARS BEST ;2440;../rtl/data/2440_BEST/FPREDICT_DUMPVARS
2026-07-20 21:59:03;FPREDICT SDM1 DUMPVARS BEST ;2440;../rtl/data/2440_BEST/FPREDICT_SDM1_DUMPVARS
2026-07-20 21:59:18;FPREDICT SDM2 DUMPVARS BEST ;2440;../rtl/data/2440_BEST/FPREDICT_SDM2_DUMPVARS
2026-07-20 21:59:36;FPREDICT DUMPVARS BEST ;2480;../rtl/data/2480_BEST/FPREDICT_DUMPVARS
2026-07-20 21:59:50;FPREDICT SDM1 DUMPVARS BEST ;2480;../rtl/data/2480_BEST/FPREDICT_SDM1_DUMPVARS
2026-07-20 22:00:06;FPREDICT SDM2 DUMPVARS BEST ;2480;../rtl/data/2480_BEST/FPREDICT_SDM2_DUMPVARS
2026-07-20 22:00:24;FPREDICT DUMPVARS BEST ;2418.123;../rtl/data/2418123_BEST/FPREDICT_DUMPVARS
2026-07-20 22:00:37;FPREDICT SDM1 DUMPVARS BEST ;2418.123;../rtl/data/2418123_BEST/FPREDICT_SDM1_DUMPVARS
2026-07-20 22:00:53;FPREDICT SDM2 DUMPVARS BEST ;2418.123;../rtl/data/2418123_BEST/FPREDICT_SDM2_DUMPVARS
